"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 00:00","2019","07","01","00:00","16.6","","11.6","","72","","4","","14","","24.1","","99.60","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 01:00","2019","07","01","01:00","15.7","","11.0","","73","","5","","15","","24.1","","99.59","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 02:00","2019","07","01","02:00","14.9","","11.2","","78","","32","","10","","24.1","","99.55","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 03:00","2019","07","01","03:00","14.8","","10.9","","77","","36","","5","","24.1","","99.49","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 04:00","2019","07","01","04:00","14.4","","10.7","","79","","6","","12","","24.1","","99.49","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 05:00","2019","07","01","05:00","14.6","","10.9","","78","","5","","13","","24.1","","99.58","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 06:00","2019","07","01","06:00","16.1","","11.4","","74","","7","","17","","24.1","","99.59","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 07:00","2019","07","01","07:00","18.3","","12.3","","68","","36","","2","","24.1","","99.65","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 08:00","2019","07","01","08:00","20.5","","13.7","","65","","15","","10","","24.1","","99.60","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 09:00","2019","07","01","09:00","21.6","","13.3","","59","","16","","16","","24.1","","99.58","","25","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 10:00","2019","07","01","10:00","23.3","","14.5","","57","","17","","11","","24.1","","99.57","","27","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 11:00","2019","07","01","11:00","23.9","","14.3","","55","","27","","7","","24.1","","99.56","","27","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 12:00","2019","07","01","12:00","25.0","","15.4","","55","","11","","13","","24.1","","99.47","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 13:00","2019","07","01","13:00","25.5","","15.6","","53","","15","","20","","24.1","","99.42","","30","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 14:00","2019","07","01","14:00","26.5","","14.1","","46","","18","","20","","24.1","","99.37","","30","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 15:00","2019","07","01","15:00","25.9","","14.9","","50","","15","","25","","24.1","","99.27","","30","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 16:00","2019","07","01","16:00","26.1","","15.1","","50","","14","","18","","24.1","","99.23","","30","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 17:00","2019","07","01","17:00","26.6","","15.4","","50","","15","","19","","24.1","","99.18","","31","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 18:00","2019","07","01","18:00","26.5","","17.1","","56","","16","","28","","24.1","","99.12","","32","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 19:00","2019","07","01","19:00","25.2","","16.1","","57","","17","","25","","24.1","","99.11","","30","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 20:00","2019","07","01","20:00","24.8","","16.0","","58","","16","","26","","24.1","","99.12","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 21:00","2019","07","01","21:00","24.2","","16.4","","62","","16","","22","","24.1","","99.12","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 22:00","2019","07","01","22:00","24.0","","16.7","","63","","19","","16","","24.1","","99.12","","29","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-01 23:00","2019","07","01","23:00","24.1","","15.9","","60","","20","","17","","24.1","","99.05","","29","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-02 00:00","2019","07","02","00:00","23.2","","15.8","","63","","21","","13","","24.1","","99.04","","28","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-02 01:00","2019","07","02","01:00","22.7","","15.6","","64","","22","","10","","24.1","","99.00","","27","","","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-07-02 02:00","2019","07","02","02:00","22.2","","16.3","","69","","22","","9","","24.1","","98.98","","27","","","","Rain"
